year,iso3st,grpop,pop_density
1979,AGO,3.507543622,6.294382771
1980,AGO,3.587939864,6.52432181
1981,AGO,3.642460453,6.766348761
1982,AGO,3.678035002,7.019850806
1983,AGO,3.71606374,7.285620438
1984,AGO,3.706036014,7.560693832
1985,AGO,3.678647742,7.844004171
1986,AGO,3.618425561,8.133031202
1987,AGO,3.473748029,8.420516564
1988,AGO,3.40339477,8.712032566
1989,AGO,3.414571629,9.014648271
1990,AGO,3.392403354,9.325707869
1991,AGO,3.359054615,9.64428411
1992,AGO,3.274142461,9.965277934
1993,AGO,3.19559443,10.28887062
1994,AGO,3.241689202,10.62786877
1995,AGO,3.339988737,10.98883292
1996,AGO,3.381608922,11.36678672
1997,AGO,3.395515042,11.75937515
1998,AGO,3.346795466,12.15959734
1999,AGO,3.295276636,12.56696479
2000,AGO,3.312287469,12.9901893
2001,AGO,3.353709414,13.43323013
2002,AGO,3.407476157,13.89885217
2003,AGO,3.493342778,14.39296703
2004,AGO,3.594457524,14.91972648
2005,AGO,3.646268934,15.47377958
2006,AGO,3.684892016,16.05460736
2007,AGO,3.74258021,16.66684928
2008,AGO,3.778289766,17.30861875
2009,AGO,3.801561875,17.97928371
2010,AGO,3.851098249,18.6851889
2011,AGO,3.887945997,19.42596615
2012,AGO,3.883583555,20.19523061
2013,AGO,3.84998069,20.98790407
2014,AGO,3.732728067,21.78613058
2015,AGO,3.605071622,22.58586508
2016,AGO,3.57644144,23.40825379
2017,AGO,3.540612215,24.25189621
2018,AGO,3.453233009,25.10399856
2019,AGO,3.387884222,25.96906393
2020,AGO,3.267958649,26.8317414
2021,AGO,3.1813226,27.69906874
1960,ALB,..,..
1961,ALB,3.120855371,60.57664234
1962,ALB,3.056730503,62.45689781
1963,ALB,2.953748762,64.32923358
1964,ALB,2.880686426,66.20930657
1965,ALB,2.754021238,68.05806569
1966,ALB,2.63456388,69.87492701
1967,ALB,2.630190345,71.73715328
1968,ALB,2.84251071,73.80554745
1969,ALB,2.896083388,75.97427007
1970,ALB,2.550851178,77.93718978
1971,ALB,2.422972017,79.84864964
1972,ALB,2.494973107,81.86591241
1973,ALB,2.362552224,83.82306569
1974,ALB,2.297214176,85.77094891
1975,ALB,2.30115381,87.76755474
1976,ALB,2.208235255,89.72722628
1977,ALB,2.213252179,91.73525547
1978,ALB,2.075741895,93.65934307
