fold,y_true_imports,y_pred_imports,y_true_exports,y_pred_exports,mse_imports,mse_exports,country_id
2,0.0,-0.24282569,0.0,-0.383037,19.557829,19.383936,38
2,0.0,-0.22120321,0.0,-0.35743734,19.557829,19.383936,38
2,21.558743,19.988672,21.72344,19.771114,19.557829,19.383936,39
2,21.531878,20.004961,21.742266,19.786177,19.557829,19.383936,39
2,21.375656,20.248579,21.766603,20.023762,19.557829,19.383936,39
2,21.582201,20.35749,21.927444,20.131218,19.557829,19.383936,39
2,21.749184,20.591728,22.253174,20.305033,19.557829,19.383936,39
2,21.725489,20.60236,22.245348,20.313248,19.557829,19.383936,39
2,22.679558,22.194948,22.445425,21.990911,19.557829,19.383936,39
2,23.040104,22.886513,22.826872,22.671955,19.557829,19.383936,39
2,23.083218,22.721882,22.886625,22.498846,19.557829,19.383936,39
2,23.203165,22.736563,22.910067,22.51184,19.557829,19.383936,39
2,23.510483,23.144354,23.070936,22.972204,19.557829,19.383936,39
2,0.0,8.783162,0.0,8.49648,19.557829,19.383936,40
2,0.0,8.8019,0.0,8.514234,19.557829,19.383936,40
2,0.0,9.851932,0.0,9.5849,19.557829,19.383936,40
2,21.74109,10.259354,21.40777,9.98912,19.557829,19.383936,40
2,22.117376,10.39278,21.735468,10.121644,19.557829,19.383936,40
2,22.275234,10.437627,21.937788,10.166195,19.557829,19.383936,40
2,0.0,0.30212453,0.0,0.23891559,19.557829,19.383936,41
2,0.0,0.5891071,0.0,0.55966896,19.557829,19.383936,41
2,0.0,3.2095075,0.0,3.0945737,19.557829,19.383936,41
2,0.0,3.2760582,0.0,3.1660762,19.557829,19.383936,41
2,0.0,3.304594,0.0,3.1968226,19.557829,19.383936,41
2,0.0,3.3320694,0.0,3.2264795,19.557829,19.383936,41
2,0.0,3.3597965,0.0,3.256704,19.557829,19.383936,41
2,0.0,3.3644361,0.0,3.2614007,19.557829,19.383936,41
2,0.0,3.3668904,0.0,3.2636836,19.557829,19.383936,41
2,0.0,3.9508195,0.0,3.8256454,19.557829,19.383936,41
2,23.029716,22.220129,23.17983,22.220331,19.557829,19.383936,42
2,23.17594,22.25844,23.286068,22.262589,19.557829,19.383936,42
2,23.173012,22.262053,23.282927,22.26666,19.557829,19.383936,42
2,23.990665,23.31856,24.264578,23.273466,19.557829,19.383936,42
2,24.873339,23.54844,25.140043,23.51871,19.557829,19.383936,42
2,25.228893,23.63137,25.423746,23.601751,19.557829,19.383936,42
2,25.284399,23.64805,25.468199,23.618317,19.557829,19.383936,42
2,25.357994,22.892323,25.55158,22.936209,19.557829,19.383936,42
2,22.17954,21.608582,22.845303,21.652855,19.557829,19.383936,43
2,22.737059,22.363388,23.554846,22.346067,19.557829,19.383936,43
2,23.157566,22.49602,23.800222,22.490019,19.557829,19.383936,43
2,23.224552,22.677485,24.419464,22.68623,19.557829,19.383936,43
2,23.471277,22.752539,24.643204,22.766304,19.557829,19.383936,43
2,23.503365,22.692432,24.26959,22.694357,19.557829,19.383936,43
2,24.388062,22.309319,23.617985,22.107391,19.557829,19.383936,44
2,24.411718,22.92274,25.021534,22.724867,19.557829,19.383936,44
2,25.405397,24.929518,25.55158,24.783852,19.557829,19.383936,44
2,25.779512,25.2573,25.798439,25.124025,19.557829,19.383936,44
2,26.216328,25.648685,26.084558,25.534178,19.557829,19.383936,44
2,26.216328,25.654778,26.103163,25.539215,19.557829,19.383936,44
2,26.406845,25.579924,26.228598,25.420073,19.557829,19.383936,44
2,26.537395,25.611721,26.336393,25.452505,19.557829,19.383936,44
2,26.57259,25.620962,26.317978,25.461372,19.557829,19.383936,44
2,26.612144,25.773163,26.507092,25.655567,19.557829,19.383936,44
2,19.070684,18.595213,18.482378,18.370134,19.557829,19.383936,45
2,20.248259,18.722668,19.684149,18.49461,19.557829,19.383936,45
2,19.999413,18.783426,19.562042,18.555094,19.557829,19.383936,45
2,20.19684,20.598207,19.779688,20.391424,19.557829,19.383936,45
2,20.919535,20.85001,20.943787,20.651344,19.557829,19.383936,45
2,21.2012,20.925558,21.175283,20.726343,19.557829,19.383936,45
2,22.140179,21.151623,21.70498,20.904211,19.557829,19.383936,45
2,22.371382,21.36515,21.871155,21.162397,19.557829,19.383936,45
2,22.474724,21.396746,21.886057,21.194004,19.557829,19.383936,45
2,21.566158,20.758575,21.65138,20.68086,19.557829,19.383936,46
2,21.725752,20.662086,21.88663,20.5394,19.557829,19.383936,46
2,21.620956,20.702955,21.938986,20.583946,19.557829,19.383936,46
2,22.50282,20.123909,22.139761,20.03989,19.557829,19.383936,46
2,22.61547,20.194237,22.274214,20.108425,19.557829,19.383936,46
2,20.728611,19.410046,21.043547,19.195581,19.557829,19.383936,47
2,20.963793,19.213444,20.57745,18.989271,19.557829,19.383936,47
2,20.964754,19.758307,20.264114,19.531548,19.557829,19.383936,47
2,21.12957,20.857975,20.36339,20.673338,19.557829,19.383936,47
2,21.507318,21.444752,20.850098,21.323248,19.557829,19.383936,47
2,21.708271,21.463642,20.984303,21.342463,19.557829,19.383936,47
2,22.155354,22.498812,21.747412,22.376282,19.557829,19.383936,47
2,22.269978,22.79437,21.839266,22.621655,19.557829,19.383936,47
2,22.38491,22.826164,22.06887,22.6535,19.557829,19.383936,47
2,22.635176,22.177263,22.480238,22.014463,19.557829,19.383936,47
2,24.496302,23.05264,25.035055,23.040344,19.557829,19.383936,48
2,24.520027,23.059433,25.112968,23.047752,19.557829,19.383936,48
2,24.52391,23.069891,25.173061,23.059216,19.557829,19.383936,48
2,24.780872,24.085852,25.476856,24.016268,19.557829,19.383936,48
2,25.414614,24.049839,25.699999,23.976845,19.557829,19.383936,48
2,25.450653,24.23752,25.672026,24.175867,19.557829,19.383936,48
2,25.519056,24.256224,25.693079,24.194792,19.557829,19.383936,48
2,23.730917,20.91113,22.352283,20.587242,19.557829,19.383936,49
2,23.901327,21.352299,22.472668,21.069952,19.557829,19.383936,49
2,23.98154,22.065805,22.866035,21.774078,19.557829,19.383936,49
2,24.026838,23.922293,22.951002,23.711468,19.557829,19.383936,49
2,23.914368,23.8524,23.25086,23.597813,19.557829,19.383936,49
2,24.335234,23.807478,23.344955,23.541176,19.557829,19.383936,49
2,24.806349,22.433512,24.137897,22.13433,19.557829,19.383936,49
2,0.0,3.4002118,0.0,3.2522137,19.557829,19.383936,50
2,0.0,3.4964519,0.0,3.3474133,19.557829,19.383936,50
2,23.072891,13.950065,23.170673,13.8136425,19.557829,19.383936,50
2,23.163532,13.979107,23.163315,13.844832,19.557829,19.383936,50
2,23.116425,13.802178,23.171713,13.671487,19.557829,19.383936,50
2,23.082216,13.82286,23.0531,13.692918,19.557829,19.383936,50
2,23.820936,14.011879,23.810553,13.895373,19.557829,19.383936,50
2,24.057255,14.27844,24.050018,14.177454,19.557829,19.383936,50
2,22.83948,21.052309,22.915426,20.879498,19.557829,19.383936,51
2,22.915623,22.9489,23.087769,22.82882,19.557829,19.383936,51
2,22.711668,23.061575,22.897583,22.932966,19.557829,19.383936,51
2,22.62932,23.220566,22.945803,23.09284,19.557829,19.383936,51
2,23.45092,23.549871,23.860247,23.387161,19.557829,19.383936,51
2,23.573568,23.584042,24.05891,23.423212,19.557829,19.383936,51
2,24.001131,23.655136,24.2676,23.500286,19.557829,19.383936,51
2,24.286186,23.859745,24.340868,23.725695,19.557829,19.383936,51
2,24.50895,23.900759,24.424894,23.770761,19.557829,19.383936,51
2,24.537212,23.920692,24.419231,23.792543,19.557829,19.383936,51
2,24.655602,23.995773,24.650774,23.871162,19.557829,19.383936,51
2,0.0,-0.4279625,0.0,-0.37135044,19.557829,19.383936,52
2,0.0,0.052332036,0.0,0.11944582,19.557829,19.383936,52
2,0.0,0.1477704,0.0,0.19989613,19.557829,19.383936,52
2,0.0,0.12316454,0.0,0.1808643,19.557829,19.383936,52
2,0.0,0.17668201,0.0,0.22577712,19.557829,19.383936,52
2,0.0,0.20105503,0.0,0.24626184,19.557829,19.383936,52
2,24.771883,18.417177,24.717112,18.253704,19.557829,19.383936,53
2,24.964045,18.435152,24.832235,18.274174,19.557829,19.383936,53
2,0.0,-0.17944783,0.0,-0.32991987,19.557829,19.383936,54
2,0.0,-0.066080675,0.0,-0.16190329,19.557829,19.383936,54
2,0.0,-0.0030952543,0.0,-0.070196725,19.557829,19.383936,54
2,25.011574,24.788832,25.527287,24.562725,19.557829,19.383936,55
2,25.247087,24.905638,25.79217,24.719198,19.557829,19.383936,55
2,25.459465,25.38418,26.139366,25.226301,19.557829,19.383936,55
2,26.178587,25.460087,26.50401,25.312605,19.557829,19.383936,55
2,26.549267,25.21984,26.569704,25.064981,19.557829,19.383936,55
2,20.36922,20.190126,19.829838,19.904911,19.557829,19.383936,56
2,0.0,9.40343,0.0,9.093049,19.557829,19.383936,57
2,0.0,9.314935,0.0,9.003709,19.557829,19.383936,57
2,0.0,9.2960005,0.0,8.985033,19.557829,19.383936,57
2,0.0,9.543854,0.0,9.233067,19.557829,19.383936,57
2,0.0,9.597281,0.0,9.28467,19.557829,19.383936,57
2,24.911428,9.642355,25.86493,9.32847,19.557829,19.383936,57
2,25.123802,9.733914,25.991123,9.418737,19.557829,19.383936,57
2,26.148216,9.956466,26.125944,9.637738,19.557829,19.383936,57
2,26.232655,10.021633,26.107761,9.702047,19.557829,19.383936,57
2,22.078325,20.694832,22.371828,20.424177,19.557829,19.383936,58
2,22.239594,20.66178,21.401821,20.38145,19.557829,19.383936,58
2,22.54525,20.707474,21.923943,20.425611,19.557829,19.383936,58
2,23.02005,20.747942,21.979248,20.463297,19.557829,19.383936,58
