fold,preindex,country_id,y_true_imports,y_pred_imports,y_true_exports,y_pred_exports,mse_imports,mse_exports,shap_sanction,shap_neighbor,shap_log_rgdp,shap_log_pop,shap_polity2,shap_country_id
4,2550,70,23.254148,17.891672,23.040243,17.493187,16.749699,16.761549,-0.2508297583262085,0.45565200142065543,0.03398170095185263,0.2920069930901141,-3.423416436105972,2.04196807020903
4,2552,70,23.238113,17.943693,23.065022,17.548033,16.749699,16.761549,-0.2520300201574948,0.4546863355239278,0.09318370665113165,0.30388616579522715,-3.4349767403354274,2.0366360577220686
4,2565,71,22.931282,22.16084,23.178854,21.864428,16.749699,16.761549,-0.2335142634709638,0.3377804822921785,-0.2945655556122449,0.08070474557081712,-1.3829221744140099,4.911050097982093
4,2580,71,23.89079,22.541647,23.490026,22.236618,16.749699,16.761549,-0.23340305089951022,0.33745150367418647,0.009253116369251054,0.1541044836839033,-1.3857360970973935,4.917667438507081
4,2584,71,23.623503,23.108484,23.262499,22.806183,16.749699,16.761549,-0.22732976563771398,0.3405608658790623,0.0184718015988625,0.13601012198130422,-0.4813043824831683,4.57976797103882
4,2586,71,22.925755,22.570889,22.069231,22.241749,16.749699,16.761549,-0.23385225947698213,0.3355215811729459,-0.13967759803930713,0.17612649055321994,-1.0465876773595861,4.73705032662551
5,1,0,0.0,4.0886774,0.0,4.3934064,21.345337,20.796394,0.022573618084190904,0.28390914167463766,-0.2982217586934578,0.530620645134399,-2.6249583320555576,-12.475637338687973
5,4,0,0.0,4.15422,0.0,4.4607706,21.345337,20.796394,0.02237809907148326,0.2841873331964031,-0.27987166687473386,0.5658796367670103,-2.6207830082637575,-12.467961720533673
5,11,1,0.0,4.875388,0.0,4.972439,21.345337,20.796394,0.004365254720053287,-0.8783327882885912,-0.7743562604933972,-0.39896138881891946,-5.982785878549024,-5.7449322239781395
5,16,1,0.0,13.924833,0.0,13.946341,21.345337,20.796394,-0.048443411429725615,0.2389512205918586,-0.9751658968528112,-0.29529182342688204,0.389233272274341,-4.034841494282085
5,19,1,0.0,14.393438,0.0,14.44398,21.345337,20.796394,-0.052381794214253305,0.2343680687745387,-0.9688979221582394,-0.2936802804867414,0.8561165087620418,-4.032477672298744
5,21,1,20.918896,12.813433,19.648336,12.90598,21.345337,20.796394,-0.0666620686054246,0.27355512134234145,-0.7809277964433037,-0.33652393388747937,-0.6596387232144685,-4.2667613365650165
5,34,1,22.355192,15.643908,21.621843,15.778272,21.345337,20.796394,-0.05391705942154021,0.2314180970986699,-0.633132166266441,-0.29290886199474264,1.775355845014253,-4.0332997382879245
5,35,1,22.349447,15.660198,21.797422,15.79604,21.345337,20.796394,-0.05388348865509234,0.23153653669357097,-0.616935229341188,-0.2935044034719456,1.776064220309254,-4.033470854719473
5,36,1,22.405745,15.671599,21.86203,15.808421,21.345337,20.796394,-0.05386486458778332,0.23161636797586618,-0.6057638043959908,-0.29374325271447455,1.7765353846152678,-4.033571873625123
5,38,1,22.327463,15.6823225,21.880728,15.820125,21.345337,20.796394,-0.05384064809481776,0.2316962765852593,-0.5950643527905105,-0.29419419682025577,1.777014589031537,-4.033680596629778
5,46,2,22.779554,19.772617,23.388582,19.804365,21.345337,20.796394,-0.007527899503715056,0.2469852267901067,0.8110997263689902,0.3518298484186357,-3.7283615332245885,3.4482005403836653
5,50,2,23.45682,20.22986,23.439312,20.217232,21.345337,20.796394,-0.015001727024716445,0.24519872927665176,0.8344807077298607,0.37385426228741847,-3.2509235699623797,3.3918604726245016
5,64,2,24.032953,22.975607,24.224192,23.086678,21.345337,20.796394,0.08774549790223549,-0.6571990426778829,0.9323716512918496,0.3335534641345334,0.9842550840377805,2.6444888327916485
5,75,2,24.455275,24.012964,24.896812,24.19137,21.345337,20.796394,-0.060183386007945816,0.22705729611715117,1.0786404290993985,0.3528238812287689,1.16144897826512,2.6027856190999374
5,89,3,0.0,20.52905,0.0,20.627464,21.345337,20.796394,-0.06454669078190989,0.2295134797096304,-1.2026227536598906,-0.22912347511451134,0.7235160208145809,2.4219228152036716
5,90,3,0.0,20.47867,0.0,20.575565,21.345337,20.796394,-0.06454284270604974,0.22950333404540788,-1.2446152958869907,-0.23731082804997242,0.7237479420502994,2.4214963799317673
5,95,3,21.692238,20.386353,20.348906,20.483803,21.345337,20.796394,-0.0644048581123306,0.23035924164454344,-1.1206555202007351,-0.24608735855420594,0.5030163168907188,2.4337332865397134
5,98,3,21.809383,20.465773,20.88717,20.570984,21.345337,20.796394,-0.06436671257019315,0.23052082212766367,-1.0386648068428046,-0.25060144464174855,0.5026018582979854,2.435891481558481
5,103,3,22.355322,20.747982,21.498903,20.875462,21.345337,20.796394,-0.06425975036620934,0.22995926753680065,-0.7637095071872092,-0.2500631506840448,0.5048977536757808,2.44076598131657
5,114,3,22.492208,20.904188,22.236107,21.0465,21.345337,20.796394,-0.06424213377635331,0.22971838823953777,-0.6044531948963695,-0.25883555503686106,0.5087166239817932,2.4428925967613866
5,116,4,24.08974,24.379978,24.294676,24.584797,21.345337,20.796394,0.09301709963877133,-0.6533665760556808,1.009639001508552,0.10256300073862148,1.6292692314982422,3.548464991748338
5,119,4,24.082403,24.419668,24.42429,24.625269,21.345337,20.796394,0.09286248757440833,-0.6534761982957592,1.0407245181600269,0.11054693128665793,1.6298191043337227,3.5487999237179833
5,122,4,24.25137,24.47601,24.511354,24.683222,21.345337,20.796394,0.09256597189108041,-0.6536802829901321,1.0863201920191419,0.12010869244734565,1.6307319936354978,3.5495713710387546
5,127,4,24.482382,24.559183,24.794134,24.767914,21.345337,20.796394,0.09212884340684416,-0.6540417672197097,1.1507110536297147,0.1377827942570079,1.6316035860975588,3.550607179701327
5,130,4,24.762512,24.62548,24.981106,24.835918,21.345337,20.796394,0.09174677687883394,-0.6543205762902887,1.2035272600054765,0.15003155118226472,1.632460099120936,3.5516441101034504
5,143,4,25.48544,24.667177,25.86493,24.936115,21.345337,20.796394,-0.058598852157598295,-0.6499715834458638,1.4027078694899964,0.18259278142452293,1.6092766909996707,3.5307788631518586
5,146,4,25.853165,24.722929,25.916224,24.993698,21.345337,20.796394,-0.05854140996932248,-0.6501094182332454,1.4482876066764192,0.19108219842115987,1.6103792107502708,3.5314393823544137
